module_name,collection_source,collection_name,jobs_total,number_of_jobs_never_started,hosts_total,task_clean_success_total,task_success_with_reruns_total,task_failed_total,task_unreachable_total,task_skipped_total,task_failed_and_ignored_total,jobs_failed_because_of_module_failure_total
ansible.builtin.yum,Unknown,ansible.builtin,31,0,5000,152783,0,0,2697,18215,6305,0
ansible.posix.authorized_key,certified,ansible.posix,37,0,5000,224930,0,0,4007,26684,9379,0
ansible.posix.firewalld,certified,ansible.posix,28,0,5000,165573,0,0,2935,19685,6807,0
ansible.posix.mount,certified,ansible.posix,37,0,5000,199917,0,0,3570,23380,8133,0
ansible.posix.selinux,certified,ansible.posix,34,0,5000,220804,0,0,3913,26003,9280,0
ansible.posix.sysctl,certified,ansible.posix,29,0,5000,140254,0,0,2430,16416,5900,0
azure.azcollection.azure_rm_networkinterface,certified,azure.azcollection,35,0,5000,216567,0,0,3779,25749,8905,0
azure.azcollection.azure_rm_securitygroup,certified,azure.azcollection,37,0,5000,212428,0,0,3745,25021,8806,0
azure.azcollection.azure_rm_storageaccount,certified,azure.azcollection,34,0,5000,199705,0,0,3525,23457,8313,0
azure.azcollection.azure_rm_virtualmachine,certified,azure.azcollection,25,0,5000,144471,0,0,2557,17057,5915,0
cisco.ios.ios_command,certified,cisco.ios,26,0,5000,149183,0,0,2539,17186,6092,0
cisco.iosxr.iosxr_config,certified,cisco.iosxr,31,0,5000,199500,0,0,3536,23558,8406,0
cisco.nxos.nxos_config,certified,cisco.nxos,33,0,5000,169996,0,0,3039,20013,6952,0
community.docker.docker_compose,community,community.docker,38,0,5000,233761,0,0,4163,27390,9686,0
community.docker.docker_container,community,community.docker,26,0,5000,144575,0,0,2615,16833,5977,0
community.docker.docker_swarm,community,community.docker,27,0,5000,144237,0,0,2559,17239,5965,0
community.general.alternatives,community,community.general,37,0,5000,187195,0,0,3331,21747,7727,0
community.general.docker_container,community,community.general,35,0,5000,208564,0,0,3666,24254,8516,0
community.general.docker_image,community,community.general,25,0,5000,140271,0,0,2530,16511,5688,0
community.general.docker_network,community,community.general,40,0,5000,255115,0,0,4456,30030,10399,0
community.general.git_config,community,community.general,27,0,5000,165670,0,0,2955,19462,6913,0
community.general.hostname,community,community.general,38,0,5000,208315,0,0,3678,24477,8530,0
community.general.jenkins_job,community,community.general,34,0,5000,195385,0,0,3411,23023,8181,0
community.general.lvg,community,community.general,24,0,5000,127635,0,0,2244,14864,5257,0
community.general.lvol,community,community.general,30,0,5000,170187,0,0,3076,19747,6990,0
community.general.npm,community,community.general,27,0,5000,165790,0,0,2911,19566,6733,0
community.general.postgresql_db,community,community.general,33,0,5000,195427,0,0,3482,22996,8095,0
community.general.timezone,community,community.general,30,0,5000,165853,0,0,2823,19423,6901,0
community.kubernetes.helm,community,community.kubernetes,28,0,5000,165702,0,0,2931,19564,6803,0
community.kubernetes.k8s,community,community.kubernetes,29,0,5000,148607,0,0,2655,17460,6278,0
community.kubernetes.k8s_info,community,community.kubernetes,28,0,5000,144542,0,0,2588,16789,6081,0
community.mysql.mysql_db,community,community.mysql,29,0,5000,174181,0,0,3132,20332,7355,0
community.mysql.mysql_replication,community,community.mysql,33,0,5000,178462,0,0,3193,21005,7340,0
community.mysql.mysql_user,community,community.mysql,38,0,5000,199889,0,0,3515,23515,8081,0
community.postgresql.postgresql_db,community,community.postgresql,38,0,5000,225242,0,0,3915,26527,9316,0
community.postgresql.postgresql_query,community,community.postgresql,24,0,5000,131651,0,0,2345,15538,5466,0
community.postgresql.postgresql_user,community,community.postgresql,25,0,5000,131942,0,0,2304,15328,5426,0
community.vmware.vmware_datacenter,community,community.vmware,29,0,5000,161544,0,0,2809,19040,6607,0
community.vmware.vmware_guest,community,community.vmware,36,0,5000,182675,0,0,3315,21499,7511,0
community.vmware.vmware_host,community,community.vmware,39,0,5000,191133,0,0,3408,22503,7956,0
community.windows.win_domain,community,community.windows,26,0,5000,157159,0,0,2810,18561,6470,0
community.windows.win_iis_website,community,community.windows,28,0,5000,161740,0,0,2882,18808,6570,0
community.windows.win_scheduled_task,community,community.windows,37,0,5000,229354,0,0,3984,27215,9447,0
f5networks.f5_modules.bigip_pool,certified,f5networks.f5_modules,31,0,5000,174519,0,0,3077,20366,7038,0
f5networks.f5_modules.bigip_virtual_server,certified,f5networks.f5_modules,30,0,5000,165401,0,0,3076,19659,6864,0
google.cloud.gcp_compute_disk,certified,google.cloud,39,0,5000,233583,0,0,4042,27806,9569,0
google.cloud.gcp_compute_instance,certified,google.cloud,30,0,5000,161352,0,0,2782,19065,6801,0
google.cloud.gcp_storage_bucket,certified,google.cloud,32,0,5000,165813,0,0,2935,19461,6791,0
redhat.rhel_system_roles.firewall,certified,redhat.rhel_system_roles,33,0,5000,170058,0,0,2941,20022,6979,0
redhat.rhel_system_roles.network,certified,redhat.rhel_system_roles,33,0,5000,191448,0,0,3386,22271,7895,0
redhat.rhel_system_roles.selinux,certified,redhat.rhel_system_roles,37,0,5000,217001,0,0,3734,25411,8854,0
redhat.satellite.activation_key,certified,redhat.satellite,31,0,5000,169915,0,0,3021,19966,7098,0
redhat.satellite.repository,certified,redhat.satellite,37,0,5000,216890,0,0,3924,25323,8863,0
vmware.vmware_rest.vcenter_datastore,certified,vmware.vmware_rest,29,0,5000,157145,0,0,2804,18519,6532,0
vmware.vmware_rest.vcenter_vm,certified,vmware.vmware_rest,34,0,5000,186956,0,0,3257,22054,7733,0
